timestamp_utc,station_id,station_location,raw_value,event_status,data_source
2026-06-09T17:18:55.259404+00:00,DION_001,DION 310,-2.9083779060457773,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:00.379070+00:00,DION_001,DION 310,3.195737709044254,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:04.038355+00:00,DION_001,DION 310,-2.4869944558083192,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:06.344958+00:00,DION_001,DION 310,-2.0182543756954807,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:08.891151+00:00,DION_001,DION 310,3.013040151807875,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:11.233201+00:00,DION_001,DION 310,-2.76483370110832,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:13.421244+00:00,DION_001,DION 310,2.634028809781363,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:16.054005+00:00,DION_001,DION 310,-2.4863722415462632,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:18.354832+00:00,DION_001,DION 310,2.314929717211213,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:23.599247+00:00,DION_001,DION 310,2.5258545919344226,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:29.281563+00:00,DION_001,DION 310,3.9323613107407054,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:31.595959+00:00,DION_001,DION 310,-3.228140973919838,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:34.197082+00:00,DION_001,DION 310,-3.140997193357845,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:36.335323+00:00,DION_001,DION 310,2.1065835668291344,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:39.828191+00:00,DION_001,DION 310,-2.280994049633251,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:45.507603+00:00,DION_001,DION 310,2.4184332830640294,EVENT_DETECTED,SIMULATED
2026-06-09T17:19:50.942526+00:00,DION_001,DION 310,-2.2452591805054767,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:04.233790+00:00,DION_001,DION 310,-2.042098731429665,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:06.468441+00:00,DION_001,DION 310,-2.577132949670422,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:10.388112+00:00,DION_001,DION 310,2.040825844052095,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:12.928130+00:00,DION_001,DION 310,3.396999703211379,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:19.355710+00:00,DION_001,DION 310,-2.1873467639187196,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:23.860115+00:00,DION_001,DION 310,2.30221314449014,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:26.227486+00:00,DION_001,DION 310,2.527443571647938,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:29.565571+00:00,DION_001,DION 310,3.093459086039568,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:31.983732+00:00,DION_001,DION 310,2.283603294048016,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:34.601924+00:00,DION_001,DION 310,-3.4826737801318783,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:37.464152+00:00,DION_001,DION 310,-2.0236547896126083,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:41.061822+00:00,DION_001,DION 310,3.6805553649511245,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:45.133130+00:00,DION_001,DION 310,3.4005306902153594,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:47.594431+00:00,DION_001,DION 310,2.2435769328810506,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:50.498389+00:00,DION_001,DION 310,-2.4967607831827334,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:52.627379+00:00,DION_001,DION 310,3.4370361994741336,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:55.909081+00:00,DION_001,DION 310,2.048103199279562,EVENT_DETECTED,SIMULATED
2026-06-17T15:45:58.819569+00:00,DION_001,DION 310,-3.7820028635782266,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:06.141683+00:00,DION_001,DION 310,2.645034539665736,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:11.174048+00:00,DION_001,DION 310,-3.6776722377527706,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:16.509729+00:00,DION_001,DION 310,2.7945264340810008,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:19.716184+00:00,DION_001,DION 310,-2.3158384370146377,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:21.844575+00:00,DION_001,DION 310,3.304797485449769,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:25.781379+00:00,DION_001,DION 310,2.7573229932685543,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:28.165079+00:00,DION_001,DION 310,2.0936682575372734,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:30.373894+00:00,DION_001,DION 310,-2.944506550559783,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:32.457475+00:00,DION_001,DION 310,2.7956095581290006,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:35.559235+00:00,DION_001,DION 310,-2.8164214977010813,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:41.418041+00:00,DION_001,DION 310,2.3486094259070236,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:43.444960+00:00,DION_001,DION 310,-2.4419213216066837,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:46.349309+00:00,DION_001,DION 310,-2.3199372747572506,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:50.045184+00:00,DION_001,DION 310,2.648611383339529,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:52.530112+00:00,DION_001,DION 310,-2.016900983996186,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:55.371745+00:00,DION_001,DION 310,-2.772047355549597,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:57.648777+00:00,DION_001,DION 310,2.3742763310657278,EVENT_DETECTED,SIMULATED
2026-06-17T15:46:59.666978+00:00,DION_001,DION 310,-2.110128359734462,EVENT_DETECTED,SIMULATED
2026-06-17T15:47:03.510245+00:00,DION_001,DION 310,2.163173137397911,EVENT_DETECTED,SIMULATED
2026-06-17T15:47:06.958370+00:00,DION_001,DION 310,-3.424332465412,EVENT_DETECTED,SIMULATED
2026-06-17T15:47:09.158347+00:00,DION_001,DION 310,3.2092992600057926,EVENT_DETECTED,SIMULATED
2026-06-17T15:47:12.244511+00:00,DION_001,DION 310,-2.923271429056254,EVENT_DETECTED,SIMULATED
