timestamp_utc,station_id,sample_index,raw_value,source,event_status
2026-06-17T20:27:56.588796+00:00,DION_001,210420,0.40130255269312437,SIMULATED,NORMAL
2026-06-17T20:27:56.599423+00:00,DION_001,210421,0.3835365844399079,SIMULATED,NORMAL
2026-06-17T20:27:56.609912+00:00,DION_001,210422,0.7343217789906773,SIMULATED,NORMAL
2026-06-17T20:27:56.620497+00:00,DION_001,210423,0.3927617702346866,SIMULATED,NORMAL
2026-06-17T20:27:56.631161+00:00,DION_001,210424,0.6636946188884498,SIMULATED,NORMAL
2026-06-17T20:27:56.641775+00:00,DION_001,210425,0.39326472104496707,SIMULATED,NORMAL
2026-06-17T20:27:56.652461+00:00,DION_001,210426,0.5928460157100888,SIMULATED,NORMAL
2026-06-17T20:27:56.663157+00:00,DION_001,210427,0.654685289799624,SIMULATED,NORMAL
2026-06-17T20:27:56.673780+00:00,DION_001,210428,0.825561113322437,SIMULATED,NORMAL
2026-06-17T20:27:56.684308+00:00,DION_001,210429,0.8525540655297149,SIMULATED,NORMAL
2026-06-17T20:27:56.695034+00:00,DION_001,210430,0.8265421245293476,SIMULATED,NORMAL
2026-06-17T20:27:56.705622+00:00,DION_001,210431,0.881686245624947,SIMULATED,NORMAL
2026-06-17T20:27:56.716283+00:00,DION_001,210432,0.9227263476270836,SIMULATED,NORMAL
2026-06-17T20:27:56.726797+00:00,DION_001,210433,0.975519083640028,SIMULATED,NORMAL
2026-06-17T20:27:56.737393+00:00,DION_001,210434,0.9076124219038275,SIMULATED,NORMAL
2026-06-17T20:27:56.748003+00:00,DION_001,210435,1.0852716521619272,SIMULATED,NORMAL
2026-06-17T20:27:56.758540+00:00,DION_001,210436,0.76317548168537,SIMULATED,NORMAL
2026-06-17T20:27:56.769180+00:00,DION_001,210437,0.947202998257049,SIMULATED,NORMAL
2026-06-17T20:27:56.779805+00:00,DION_001,210438,1.0226055766970987,SIMULATED,NORMAL
2026-06-17T20:27:56.790467+00:00,DION_001,210439,1.1131017507469712,SIMULATED,NORMAL
2026-06-17T20:27:56.801201+00:00,DION_001,210440,1.0338030698629843,SIMULATED,NORMAL
2026-06-17T20:27:56.811836+00:00,DION_001,210441,1.246071642538305,SIMULATED,NORMAL
2026-06-17T20:27:56.822630+00:00,DION_001,210442,1.0647684169206435,SIMULATED,NORMAL
2026-06-17T20:27:56.833261+00:00,DION_001,210443,1.1088630357315263,SIMULATED,NORMAL
2026-06-17T20:27:56.843887+00:00,DION_001,210444,1.3411525179057326,SIMULATED,NORMAL
2026-06-17T20:27:56.854451+00:00,DION_001,210445,1.1213786372421803,SIMULATED,NORMAL
2026-06-17T20:27:56.865103+00:00,DION_001,210446,1.161336738695063,SIMULATED,NORMAL
2026-06-17T20:27:56.875834+00:00,DION_001,210447,1.3211475523918017,SIMULATED,NORMAL
2026-06-17T20:27:56.886488+00:00,DION_001,210448,1.3610212175459948,SIMULATED,NORMAL
2026-06-17T20:27:56.897165+00:00,DION_001,210449,1.2446260738912325,SIMULATED,NORMAL
2026-06-17T20:27:56.907960+00:00,DION_001,210450,1.1139911874155266,SIMULATED,NORMAL
2026-06-17T20:27:56.918537+00:00,DION_001,210451,0.9993642128500737,SIMULATED,NORMAL
2026-06-17T20:27:56.929181+00:00,DION_001,210452,0.8880155341886131,SIMULATED,NORMAL
2026-06-17T20:27:56.940008+00:00,DION_001,210453,1.5383470731652844,SIMULATED,NORMAL
2026-06-17T20:27:56.950719+00:00,DION_001,210454,1.0554143926875008,SIMULATED,NORMAL
2026-06-17T20:27:56.961360+00:00,DION_001,210455,1.1861576970176333,SIMULATED,NORMAL
2026-06-17T20:27:56.972034+00:00,DION_001,210456,1.1105942726999922,SIMULATED,NORMAL
