timestamp_utc,station_id,sample_index,raw_value,source
2026-06-08T18:03:55.274734+00:00,DION_001,0,-0.3873714187782965,SIMULATED
2026-06-08T18:03:55.319954+00:00,DION_001,1,-0.7498371477692568,SIMULATED
2026-06-08T18:03:55.330391+00:00,DION_001,2,-0.5321542010175483,SIMULATED
2026-06-08T18:03:55.340755+00:00,DION_001,3,-0.28394857410331215,SIMULATED
2026-06-08T18:03:55.351082+00:00,DION_001,4,-0.4597773746279018,SIMULATED
2026-06-08T18:03:55.361417+00:00,DION_001,5,-0.4619325331111036,SIMULATED
2026-06-08T18:03:55.371796+00:00,DION_001,6,-0.5450997065029515,SIMULATED
2026-06-08T18:03:55.382182+00:00,DION_001,7,-0.38727083196864975,SIMULATED
2026-06-08T18:03:55.392500+00:00,DION_001,8,-0.6706694251400684,SIMULATED
2026-06-08T18:03:55.402908+00:00,DION_001,9,-0.56510601065654,SIMULATED
2026-06-08T18:03:55.413328+00:00,DION_001,10,-0.8058370422412112,SIMULATED
2026-06-08T18:03:55.423676+00:00,DION_001,11,-0.5547846198868222,SIMULATED
2026-06-08T18:03:55.434144+00:00,DION_001,12,-0.87084010246208,SIMULATED
2026-06-08T18:03:55.444473+00:00,DION_001,13,-0.7512755840873148,SIMULATED
2026-06-08T18:03:55.454888+00:00,DION_001,14,-0.9083920004480439,SIMULATED
2026-06-08T18:03:55.465283+00:00,DION_001,15,-0.8748849259115253,SIMULATED
2026-06-08T18:03:55.475579+00:00,DION_001,16,-0.6955595933180394,SIMULATED
2026-06-08T18:03:55.485913+00:00,DION_001,17,-0.6351161544689059,SIMULATED
2026-06-08T18:03:55.496219+00:00,DION_001,18,-0.8281373807582276,SIMULATED
2026-06-08T18:03:55.506613+00:00,DION_001,19,1.2285434064825833,SIMULATED
2026-06-08T18:03:55.520445+00:00,DION_001,20,-1.0134799469282654,SIMULATED
2026-06-08T18:03:55.531005+00:00,DION_001,21,-0.8345651443696079,SIMULATED
2026-06-08T18:03:55.541400+00:00,DION_001,22,-1.0492026719917624,SIMULATED
2026-06-08T18:03:55.551824+00:00,DION_001,23,-0.7705669214614217,SIMULATED
2026-06-08T18:03:55.562149+00:00,DION_001,24,-0.8747782640283263,SIMULATED
2026-06-08T18:03:55.572483+00:00,DION_001,25,-0.9012904447300383,SIMULATED
2026-06-08T18:03:55.582911+00:00,DION_001,26,-0.8885220547570708,SIMULATED
2026-06-08T18:03:55.593341+00:00,DION_001,27,-0.8819102024044817,SIMULATED
2026-06-08T18:03:55.603655+00:00,DION_001,28,-0.9785026184722653,SIMULATED
2026-06-08T18:03:55.614114+00:00,DION_001,29,-1.1002968528241281,SIMULATED
2026-06-08T18:03:55.624479+00:00,DION_001,30,-0.5881552605547287,SIMULATED
2026-06-08T18:03:55.634871+00:00,DION_001,31,1.861820491300184,SIMULATED
2026-06-08T18:03:55.645468+00:00,DION_001,32,-0.8061802890050005,SIMULATED
2026-06-08T18:03:55.655913+00:00,DION_001,33,-0.886734198113959,SIMULATED
2026-06-08T18:03:55.666279+00:00,DION_001,34,-0.9625461755414789,SIMULATED
2026-06-08T18:03:55.676698+00:00,DION_001,35,-0.9423286221633562,SIMULATED
2026-06-08T18:03:55.687136+00:00,DION_001,36,-0.7525130671559693,SIMULATED
2026-06-08T18:03:55.697612+00:00,DION_001,37,-0.7079761263300444,SIMULATED
2026-06-08T18:03:55.707972+00:00,DION_001,38,-0.8291502738483658,SIMULATED
2026-06-08T18:03:55.718290+00:00,DION_001,39,-0.4206970427760883,SIMULATED
2026-06-08T18:03:55.728662+00:00,DION_001,40,-0.5316430639438331,SIMULATED
2026-06-08T18:03:55.739101+00:00,DION_001,41,-0.4914493190456088,SIMULATED
2026-06-08T18:03:55.749546+00:00,DION_001,42,-0.6821001618517568,SIMULATED
2026-06-08T18:03:55.759989+00:00,DION_001,43,-0.5123866264122588,SIMULATED
2026-06-08T18:03:55.770322+00:00,DION_001,44,-0.4003768920248574,SIMULATED
2026-06-08T18:03:55.780779+00:00,DION_001,45,-0.250533060997133,SIMULATED
2026-06-08T18:03:55.791174+00:00,DION_001,46,-0.253233148034823,SIMULATED
2026-06-08T18:03:55.801503+00:00,DION_001,47,-0.4149285914020673,SIMULATED
2026-06-08T18:03:55.811893+00:00,DION_001,48,-0.45283029732514324,SIMULATED
2026-06-08T18:03:55.822300+00:00,DION_001,49,-0.35278586048950084,SIMULATED
2026-06-08T18:03:55.832700+00:00,DION_001,50,-0.18114740928225553,SIMULATED
2026-06-08T18:03:55.842997+00:00,DION_001,51,0.12225459560461804,SIMULATED
2026-06-08T18:03:55.853369+00:00,DION_001,52,0.0787100826164574,SIMULATED
2026-06-08T18:03:55.863812+00:00,DION_001,53,-0.17139716838731694,SIMULATED
2026-06-08T18:03:55.874245+00:00,DION_001,54,-0.015018362248208142,SIMULATED
2026-06-08T18:03:55.884679+00:00,DION_001,55,0.08484876610472022,SIMULATED
2026-06-08T18:03:55.895126+00:00,DION_001,56,-0.14862559969587888,SIMULATED
2026-06-08T18:03:55.905481+00:00,DION_001,57,0.08813093838765595,SIMULATED
2026-06-08T18:03:55.915841+00:00,DION_001,58,0.4447619463782594,SIMULATED
2026-06-08T18:03:55.926361+00:00,DION_001,59,-0.001113190042505846,SIMULATED
2026-06-08T18:03:55.936788+00:00,DION_001,60,0.1977959517602903,SIMULATED
2026-06-08T18:03:55.947217+00:00,DION_001,61,0.20501546580320973,SIMULATED
2026-06-08T18:03:55.957633+00:00,DION_001,62,0.44882129282042005,SIMULATED
2026-06-08T18:03:55.967949+00:00,DION_001,63,0.2639391937801371,SIMULATED
2026-06-08T18:03:55.978262+00:00,DION_001,64,0.05750137066616323,SIMULATED
2026-06-08T18:03:55.988594+00:00,DION_001,65,0.33779944848382604,SIMULATED
2026-06-08T18:03:55.999040+00:00,DION_001,66,0.6290833805046834,SIMULATED
2026-06-08T18:03:56.009447+00:00,DION_001,67,0.3814231649188024,SIMULATED
2026-06-08T18:03:56.019883+00:00,DION_001,68,0.36740151164311985,SIMULATED
2026-06-08T18:03:56.030245+00:00,DION_001,69,0.4446557017331338,SIMULATED
2026-06-08T18:03:56.040617+00:00,DION_001,70,0.604253961487358,SIMULATED
2026-06-08T18:03:56.051055+00:00,DION_001,71,0.3617607448865798,SIMULATED
2026-06-08T18:03:56.061407+00:00,DION_001,72,0.5280345926759361,SIMULATED
2026-06-08T18:03:56.071733+00:00,DION_001,73,0.7111234759624221,SIMULATED
2026-06-08T18:03:56.082022+00:00,DION_001,74,0.39697327996944554,SIMULATED
2026-06-08T18:03:56.092321+00:00,DION_001,75,0.30773497194084565,SIMULATED
2026-06-08T18:03:56.102713+00:00,DION_001,76,0.6229845464222681,SIMULATED
2026-06-08T18:03:56.113077+00:00,DION_001,77,0.37815485774103447,SIMULATED
2026-06-08T18:03:56.123379+00:00,DION_001,78,0.8189644462249563,SIMULATED
2026-06-08T18:03:56.133628+00:00,DION_001,79,0.3156318137030402,SIMULATED
2026-06-08T18:03:56.144023+00:00,DION_001,80,0.44597038503917247,SIMULATED
2026-06-08T18:03:56.154396+00:00,DION_001,81,0.6267485637283546,SIMULATED
2026-06-08T18:03:56.164739+00:00,DION_001,82,0.3144078595119203,SIMULATED
2026-06-08T18:03:56.175120+00:00,DION_001,83,0.463735803852508,SIMULATED
2026-06-08T18:03:56.185567+00:00,DION_001,84,0.35940379521071536,SIMULATED
2026-06-08T18:03:56.195870+00:00,DION_001,85,0.4620839688113435,SIMULATED
2026-06-08T18:03:56.206329+00:00,DION_001,86,0.46397470477640784,SIMULATED
2026-06-08T18:03:56.216695+00:00,DION_001,87,0.5854750960767325,SIMULATED
2026-06-08T18:03:56.227065+00:00,DION_001,88,0.29540610214667345,SIMULATED
2026-06-08T18:03:56.237484+00:00,DION_001,89,0.28595450399836564,SIMULATED
2026-06-08T18:03:56.247792+00:00,DION_001,90,0.02110196851576851,SIMULATED
2026-06-08T18:03:56.258118+00:00,DION_001,91,0.30898109281580566,SIMULATED
2026-06-08T18:03:56.268548+00:00,DION_001,92,0.36366747994016746,SIMULATED
2026-06-08T18:03:56.279019+00:00,DION_001,93,-0.08469551454344898,SIMULATED
2026-06-08T18:03:56.289488+00:00,DION_001,94,0.3286432921652299,SIMULATED
